课程代码,课程名称,课程英文名称,学分,周学时,总学时,课程类别,课程类型,开课部门,课程归属,课程标识,认定类别,是否允许申请免听,是否允许补考,建议修读年级,是否荣誉课程,是否竺可桢学院课程,是否体育分项,对应课程代码,课程简介
BIO0900G,生命科学,Life Science,3.0,2.0-2.0,64,通识,理论含讨论,生命科学学院,生命探索,通识核心课程,,不得申请免听,否,0,否,否,否,0716S001,"本课程着眼于生命科学的基础知识、学科前沿、发展趋势。内容包括生命的本质、起源与进化；生物的结构、行为、功能及其对环境的适应；全球环境变化、生物的响应与人类可持续发展；细胞与细胞工程、基因与基因工程、仿生学与生物材料、生物信息与生物芯片和合成生物学等。"
BIO1001G,大学生物学,College Biology,3.0,2.0-2.0,64,通识,理论含讨论,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0010,"课程旨在帮助生命科学相关专业的低年级学生构建生命科学的基础知识结构，准确理解和掌握基本原理、基本概念、核心理论，了解代表性前沿进展，发现个人知识探究的兴趣点和专业切入点，激发使命和兴趣驱动、目标和问题导向的学习动力，培养探究式学习方法和批判性生命系统思维。课程使用浙江大学自主制作的“大学生物学”MOOC课程，13个重点知识单元以生命的基本特征为原点（导论），掌握生命的基本形式、生活史和进化树（动物学、植物学、微生物学），阐明生命结构和功能的基本单元及发育调控机制（细胞和发育生物学），以能量传递为主线的新陈代谢基本机制（生理学、免疫学、生物化学），以信息传递为主线的遗传变异基本机制（分子生物学、遗传学），理解生命对环境变化的响应和适应机制（演化生物学、生态学）。课程倡导以学习者为中心，以生命科学主干知识图谱构建、核心知识点剖析、经典案例分析为重点，主动互动学习，打造师生学习共同体。采用学生线上学习和教师引导线下学习相结合的混合式教学模式，学习方式包括学生线上MOOC自学、线下课堂名词解释展示（小分享）、科学问题分组讨论和演讲（大分享）、知识点总结的思维导图作业，以及教师课堂讲解、学术讲座等。从而为后续专业学习、深造和终身学习奠定基础。"
BIO1002G,大学生物学实验,Experiment in College Biology,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0020,"该课程为生物学实验类课程。实验内容涵盖植物学、动物学、微生物学、分子生物学、细胞生物学、遗传学、生物信息学、生物化学、生态学等多个学科共10个单元的若干个实验。每个单元为4学时，学生需完成6个必修单元和2个选修单元的实验。课程旨在激发学生对生命科学的兴趣，使学生了解生命科学领域的基础研究技术与方法，培养学生动手实践能力和逻辑思维能力，增强学生的分析问题与解决问题的能力，全面提升学生的综合素质。"
BIO1003G,生命科学导论,An Introduction of Life Sciences,2.0,1.5-1.0,40,通识,理论含讨论,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0030,"课程引进朱玉贤院士领衔主讲的《大学生物学》MOOC课程，采用线上学习和线下讨论相结合的教学模式。课程内容涵盖动物学、植物学、微生物学、细胞生物学、遗传学、生物化学、分子生物学、生理学、免疫学、生物演化、生物技术、生物信息学、生态学与保护生物学等生命科学领域的重要知识。课程旨在让非生物类专业学生了解生物学丰富多彩的世界，认识生物学与人类健康、生活、环境的密切关系"
BIO1004G,生命科学导论实验,Experiment of introduction to life sciences,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0040,"该课程是生命科学实验类课程。实验内容由动物学、植物学、微生物学、生理学、生化检测、核酸、蛋白质与基因扩增和植物组织培养等八个单元的若干个实验组成，每个单元为4学时。选修该课程的学生可到生物实验中心的选课系统中，自行选择８个单元的实验时间。"
BIO1109GH,生命科学导论（H）,Introduction to Life Sciences (H),3.0,2.0-2.0,64,通识,理论含实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,是,是,否,071R6010,"本课程的特色在于兼顾生命科学领域的基础知识、前沿热点、学科交叉、生命哲学和实际应用。内容包括生命的起源与演化；不同生物类群的形态、结构、行为、过程与功能及其对环境的适应；生物间的相互关系及其意义；生物分布的全球格局；全球环境变化、生物的响应与人类可持续发展；细胞与细胞工程、基因与基因工程、仿生学与生物材料、生物信息与生物芯片和合成生物学等。"
BIO2005F,动物学及实验（甲）,Zoology and Experiment (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0010,"《动物学及实验（甲）》是生物科学及其相关专业的重要专业基础课（必修），适用于生命科学学院本科各专业以及竺可桢学院生命科学相关专业（巴德年班、求是生物班、神农班等）。本课程包括无脊椎动物和脊椎动物两部分，以动物演化为主线，系统地介绍动物形态结构的演变、生理功能的完善和分类等方面的知识。着重体现动物有机体结构与机能，及其和环境的辩证统一关系。要求学生牢固掌握动物科学的基础理论、基本知识和基本实验技能，为进一步学习有关后继课程和将来从事与动物学有关的科研和实践打好必要的基础。本课程共80学时，其中讲课48学时，实验32学时，共16周。"
BIO2006F,普通生物学及实验,General Biology and Lab Experiments,4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0020,"普通生物学及实验是面向医学院、海洋学院、生物系统工程和食品科学学院、环境与资源学院、化学工程与生物工程学院、心理与行为科学系、人文学院、法学院等专业本科生的专业基础课。本课程内容包括宏观各结构层次上生命系统多样性和统一性及微观各结构层次上生命系统本质的一致性。具体内容包括物种分类和进化树，各类物种的解剖结构特征与生理功能的关系，并从细胞、组织、器官、系统到生态全方位阐述生命科学的基本知识，比较不同物种的发育过程，介绍遗传学、分子生物学和生态学的基本概念。课程通过每周3学时的理论课和2学时的实验课，学习掌握生物学最基本的概念及其研究方法。"
BIO2007F,生态学及实验（甲）,Ecology and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0031,"生态学是研究生物与环境间的相互关系的科学。本课程分析生态学所涉及的从有机体到种群、群落/生态系统、城乡耦合系统直到全球多层次中的复杂关系，培养同学宏观的思维方式、处理复杂事物的方法；为科学、经济和社会提供理论、方法论和知识的支持。本课程强调在面对多尺度的世界时学会构建推理体系，并在等级层次系统之间找到共同规律。生态建设已成为国家发展的关键问题之一，本课程培养同学主动为社会服务，使生态思想被社会认可，生态学也由此获得新的科学问题。"
BIO2008F,生态学及实验（乙）,Ecology and Experiment (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0032,"生态学是研究生物与环境间的相互关系的科学。本课程分析生态学所涉及的从有机体到种群、群落/生态系统、城乡耦合系统直到全球多层次中的复杂关系，培养同学宏观的思维方式、处理复杂事物的方法；为科学、经济和社会提供理论、方法论和知识的支持。本课程强调在面对多尺度的世界时学会构建推理体系，并在等级层次系统之间找到共同规律。生态建设已成为国家发展的关键问题之一，本课程培养同学主动为社会服务，使生态思想被社会认可，生态学也由此获得新的科学问题。"
BIO2009F,微生物学及实验（甲）,Microbiology and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0041,"微生物学课程是国家理科基地生物学专业的主干课程，既是一门专业课程，又是一门为其他课程提供基础理论和基本技术的专业基础课，是生物学专业的骨干课程。课程包括了微生物学基础理论的课堂教学、微生物学实验技能训练和课程论文的写作培养。通过本课程的学习，使学生能全面掌握和了解微生物学的基础理论、基础知识和基本技术，训练和学会分析和解决微生物学研究、生产领域中实际问题的基本能力，为学生从事微生物学领域科研、教学、生产、开发等工作建立较好的微生物学理论和技术基础。并具有一定的论文写作能力。"
BIO2010F,微生物学及实验（乙）,Microbiology and Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0042,"微生物学是生物学的重要分支学科之一。它既是一门专业课程，又是一门为其他专业提供基础理论和基本技术的专业基础课，是生物学及其相关专业的骨干课程。课程包括了微生物学基础理论的课堂教学，微生物学实验技能训练，课程论文和实验设计论文的写作培养。通过本课程的学习，使学生能全面掌握和了解微生物学的基础理论、基础知识和基本技术，训练和学会分析和解决微生物学研究、生产领域中实际问题的基本能力，为学生从事相关专业领域科研、教学、生产、开发等工作建立较好的微生物学理论和技术基础。"
BIO2011F,生物化学（甲）,Biochemistry (A),4.0,4.0-0.0,64,专业基础课程,理论课,生命科学学院,,,,可以申请免听,否,2,否,否,否,071B0051,"本课程是生物学类相关专业的专业基础课程，主要包括三个方面：（1）在分子水平上探讨生物体的基本物质组成，以及生物大分子如糖、脂类、蛋白质、核酸、酶、维生素和激素等的结构、性质和功能。（2）介绍生物大分子在生物体内物质代谢、能量代谢和信息代谢的基本规律。（3）根据生物大分子的基本性质和代谢规律，诠释生物大分子与复杂的生命现象如生长、生殖、衰老、运动、免疫等之间的关系。"
BIO2012F,生物化学实验（甲）,Experiments of Biochemistry (A),2.0,0.0-4.0,64,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0061,"本课程为专业基础课程，介绍和实践生物化学的基本理论及重要实验技能。本课程设置内容包括: 一、蔗糖酶提取及性质鉴定基础系列实验，共安排8次实验和1次总结报告，学习掌握生物活性物质蛋白质（酶）的提取、分离纯化、检测及各类性质鉴定等基本实验原理、方法和技术。二、自主实验设计与实践，是基于蔗糖酶基础系列实验上的拓展实践，由立题指导、课题小组设计实验内容、开题报告、实验实践和完成课题小论文、结题报告等教学环节组成，要求在4周时间内由课题小组独立完成包括实验准备在内的所有自主设计课题的实验内容。课程辅以《生物化学实验》线上MOOC课程，进行线上线下混合式教学。"
BIO2013F,生物化学实验,Biochemistry Lab,1.5,0.0-3.0,48,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0062,"本课程设置三大部分的内容，一、蔗糖酶系列实验，共安排了八次实验，学习掌握生物活性物质蛋白质（酶）的提取、分离纯化、检测、鉴定等基本实验原理、方法和技术。二、核酸系列实验，共安排了三次实验，学习掌握DNA扩增、提取、酶切、鉴定及检测等基本原理及技术。三、代谢实验，共安排了一次氨基转换及产物鉴定实验，学习代谢反应的设计思路及方法。此外，还包括一次实验技术与研究背景专题交流及一次实验总结，旨在夯实及拓展学生实验技能，提升学生文献检索、综合分析问题和总结实验课题的能力。"
BIO2014F,生物化学及实验（丙）,Biochemistry and Experiment (C),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0070,"生物化学及实验（丙）课程通过介绍（1）蛋白质、酶、核酸等生物大分子的结构、性质和功能（2）糖、脂、蛋白质等物质代谢过程及规律（3）以中心法则为主线，阐述DNA、RNA和蛋白质之间遗传信息的动态传递过程，让学生系统地学习和掌握现代生物化学的基本理论知识，了解当今生物化学发展的前沿知识和方向，为进一步学习生物学的有关后续课程准备必要的知识储备。与此同时，学生通过实验课程的学习掌握现代生物化学的基本实验技术，为以后从事与生命科学有关的教学、科研与生产打下基础。"
BIO2017F,植物生理学及实验（甲）,Plant Physiology & Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0091,"主要讲授内容：植物的水分代谢、矿质营养的基本原理和应用技术；植物光合作用过程中太阳能的转化过程、机理、环境影响和调控；贮藏的化学能如何通过呼吸转变为ATP并进行各种物质的合成，呼吸在实践中的应用原理；植物体内同化物运输的途径和规律，植物激素和环境等条件对植物细胞、组织、器官和个体的发育的调节，植物生长、分化、开花、结果、衰老和死亡的机制和调控方法；植物怎样适应环境不良条件和植物次生物代谢等内容及相应实验技能。"
BIO2018F,植物生理学及实验（乙）,Plant Physiology & Experiment (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0092,"主要讲授内容：植物的水分代谢、矿质营养的基本原理和应用技术；植物光合作用过程中太阳能的转化过程、机理、环境影响和调控；贮藏的化学能如何通过呼吸转变为ATP并进行各种物质的合成，呼吸在实践中的应用原理；植物体内同化物运输的途径和规律，植物激素和环境等条件对植物细胞、组织、器官和个体的发育的调节，植物生长、分化、开花、结果、衰老和死亡的机制和调控方法；植物怎样适应环境不良条件和植物次生物代谢等内容及相应实验技能。"
BIO2019F,植物学及实验（甲）,Botany and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0101,"植物学是生物科学、生物技术、生态学，以及农学、园艺等相关专业的重要基础课，该课程主要介绍植物的形态结构与功能、发育过程、类群、分类及系统发育进化的主要规律。课程知识体系主要由基本知识和基本技能两部分组成：前者包括植物的形态结构与功能、生长与发育、系统进化及各大类群的主要特征和分类；后者包括植物组织切片和植物标本的制作技术，使用显微镜、解剖镜等进行形态结构的观察和分类鉴定。通过研究性实验和实习培养学生运用所学知识和技能开展研究工作的能力。"
BIO2020F,植物学及实验（乙）,Botany and Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0102,"植物学是农业生物技术、植保、环境资源、园林等相关专业的重要基础课，该课程主要介绍植物的形态结构与功能、发育过程、类群、分类及系统发育进化的主要规律。课程知识体系主要由基本知识和基本技能两部分组成：前者包括植物的形态结构与功能、生长与发育、系统进化及各大类群的主要特征和分类；后者包括植物组织切片、制片技术，使用显微镜、解剖镜等进行形态结构的观察和分类鉴定。通过理论和实验的结合，培养学生运用所学知识和技能开展进一步学习和研究工作的能力。"
BIO2021F,生物化学（乙）,Biochemistry (B),4.0,4.0-0.0,64,专业基础课程,理论课,生命科学学院,,,,可以申请免听,否,2,否,否,否,07110010,"本课程将作为学生进行现代生命科学学习的重要基础课程，基于经典生物化学基础知识，结合最新生物科学研究进展，通过生物化学导论、生物分子结构与催化、生物能量和代谢及生物信息传递四部分内容的讲授，阐述生物化学基本知识和生化实验原理，这将对培养学生今后从事生命科学相关工作打下必要基础。"
BIO2022F,生物化学实验（乙）,Lab. of Biochemistry (B),2.0,0.0-4.0,64,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07110022,"本课程为专业基础课程，介绍和实践生物化学的基本理论及重要实验技能。本课程设置内容包括：一、蔗糖酶提取及性质鉴定基础系列实验，共安排7次实验和1次总结报告，学习掌握生物活性物质蛋白质（酶）的提取、分离纯化、检测及各类性质鉴定等基本实验原理、方法和技术。二、质粒提取及酶切，学习掌握分子生物学基本要素质粒的基本操作。三、自主实验设计与实践，是基于蔗糖酶基础系列实验上的拓展实践，由立题指导、课题小组设计实验内容、开题报告、实验实践和完成课题小论文、结题报告等教学环节组成，要求在4周时间内由课题小组独立完成包括实验准备在内的所有自主设计课题的实验内容。课程辅以《生物化学实验》线上MOOC课程，进行线上线下混合式教学。"
BIO2023M,分子生物学（甲）,Molecular Biology (A),3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120041,"课程以核酸和蛋白质及其在遗传信息传递中的作用为研究对象，以中心法则作为主线，重点介绍DNA复制、 RNA转录、蛋白质翻译这些生命过程的基本原理及其调控机制，同时课程还介绍有关基因克隆、DNA重组和基因工程等分子技术、及表观遗传学、基因组学等领域的研究新进展。课程采用中英文双语教学，强化和提高学生的专业英语阅读和理解能力。"
BIO2024M,分子生物学（乙）,Molecular Biology (B),2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120042,"本课程内容主要涵盖现代分子生物学的发展史、DNA及染色体结构、DNA的复制形式与特点、DNA的转录形式与特点、RNA转录后加工及调控、蛋白质的翻译和运转、基因表达调控的原理，也包括了最新的现代分子生物学实验技术和原理。"
BIO2027M,生态学,Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120780,"主要讲授生态学范畴、理论框架和科学方法论；生物及其与环境相互作用的基本原理、生物对环境的适应与进化；种群的基本特征、种群结构和动态、种间关系及种群遗传进化对策；群落结构与演替、生物多样性及其影响因素、全球生物多样性分布格局与维持；生态系统生产力与过程（能量流动、物质循环、信息传递）、生态系统服务功能；全球变化与生态适应等内容及相应实验技能。"
BIO2028M,生态学基础及实验,Basic Ecology And Experiments,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120830,"主要讲授生态学范畴、理论框架和科学方法论；生物及其与环境相互作用的基本原理、生物对环境的适应与进化；种群的基本特征、种群结构和动态、种间关系及种群遗传进化对策；群落结构与演替、生物多样性及其影响因素、全球生物多样性分布格局与维持；生态系统生产力与过程（能量流动、物质循环、信息传递）、生态系统服务功能；全球变化与生态适应等内容及相应实验技能。"
BIO2029M,分子生物学及实验,Molecular Biology & Experiment,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120940,"课程理论部分以核酸和蛋白质及其在遗传信息传递中的作用为研究对象，以中心法则作为主线，重点介绍DNA复制、 RNA转录、蛋白质翻译这些生命过程的基本原理及其调控机制。同时，课程还介绍有关基因克隆、DNA重组和基因工程等分子技术、及表观遗传学、基因组学等领域的研究新进展。课程实验部分将训练学生掌握分子生物学领域重要的实验技能。课程采用中英文双语教学，强化和提高学生的专业英语阅读和理解能力。"
BIO2033MZ,生物化学,Biochemistry,4.0,4.0-0.0,64,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,是,否,071Q0006,"本课程作为生物科学及相关学科的学生全面进行现代生物学其他课程学习的最重要基础课程，分成结构与催化、生物能力学与代谢两个主题展开。课程结合经典的和最新的科学研究的实例来阐述基本理论和概念，反映了现代生物化学原理和技术的主要成就和最新进展，对生物化学实验技能具有重要的理论指导意义，并为培养学生今后从事生命科学相关的工作打下基础。"
BIO2034MZ,生物化学实验Ⅱ,Biochemistry Experiment(B),1.0,0.0-2.0,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0008,"本课程是针对《生物化学实验》进行延伸拓展，在《生物化学实验》系统训练基础上，发掘问题主题、提出试验命题、确立试验目标、选择实验方法、设计技术路线、制定试验方案，自主性完成实践。课程由立题指导、开题报告、自主试验、撰写科学论文和结题展示等教学环节组成。学生将被分成三人课题小组，在6周时间内自主独立完成相关内容。旨在培养学生自主发现问题、提出问题、解决问题、科学分析数据和结果、形成科学结论和撰写科学论文的能力，强化学生对生化实验技术的理解，达成初步独立开展生化科学研究的能力。"
