课程代码,课程名称,课程英文名称,学分,周学时,总学时,课程类别,课程类型,开课部门,课程归属,课程标识,认定类别,是否允许申请免听,是否允许补考,建议修读年级,是否荣誉课程,是否竺可桢学院课程,是否体育分项,对应课程代码
BIO3101M,分子生态学,Molecular Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07192310
BIO3102M,微生物生态学,Microbial Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07192330
BIO3103M,生物地理学,Biogeography,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192340
BIO3104M,景观生态学与生态规划,Landscape Ecology And Ecological Planning,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07192370
BIO3107M,微藻与作物生产及环境修复,Environmental Ecological Restoration Technology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192440
BIO3108M,系统和分子进化学,Systematics And Molecular Evolution,3.0,3.0-0.0,48,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07192450
BIO3109M,生物物理学,Biophysics,3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,
BIO3110M,生物物理与仪器分析,Biophysics and instrumental analysis,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,
BIO4031M,发育生物学,Developmental Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,4,否,否,否,07190450
BIO4032M,发育生物学实验,Developmental Biology Lab,1.0,0.0-2.0,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,4,否,否,否,07190460
BIO4044MZ,科研训练,Scientific Research Traing,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,4,否,是,否,071Q0019
BIO4049M,动物繁殖生物学,Animal Reproductive Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,4,否,否,否,07120170
BIO4054M,生态科学研究技术,Ecological Science Research,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,4,否,否,否,07120270
BIO4059M,恢复生态学,Restoration Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,4,否,否,否,07120500
BIO4063M,生物芯片原理及数据分析,Microarray Analysis,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,4,否,否,否,07120650
BIO4064M,系统生物学,Systems Biology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,4,否,否,否,07120680
BIO4067M,生物技术产业实习,Practice Of Biotechnology Industry,1.0,+1,32,专业课,实习课,生命科学学院,,,,不得申请免听,否,4,否,否,否,07120790
BIO4083M,生物信息学产业实践,Practical Industrial Bioinformatics,1.0,+1,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,4,否,否,否,07188170
BIO4087M,毕业论文（设计）,Final Term Project/Thesis of B.S.,8.0,+10,320,专业课,毕业论文/设计,生命科学学院,,,,不得申请免听,否,4,否,否,否,07189010
BIO4098M,生态学研究技术,Technology Of Ecological Research,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,4,否,否,否,07192250
